stage of CB,stage of our product
angel,Seed
pre_seed,Seed
seed,Seed
series_a,Early
series_b,Early
series_c,Growth
series_d,Growth
series_e,Growth
series_f,Growth
series_g,Growth
series_h,Growth
series_i,Growth
series_j,Growth
debt_financing,Exclude
initial_coin_offering,Exclude
non_equity_assistance,Exclude
series_unknown,Exclude
corporate_round,Exclude
convertible_note,Seed
undisclosed,Exclude
secondary_market,Exclude
equity_crowdfunding,Exclude
private_equity,Growth
post_ipo_equity,Exclude
post_ipo_debt,Exclude
post_ipo_secondary,Exclude
product_crowdfunding,Exclude
grant,Exclude